TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
23	12	-1	34		0	finished
23	13	-1	25		0	finished
23	17	-1	21		0	finished
23	18	-1	28		0	finished
23	5	-1	17		0	finished
23	2	4	61		5	running
23	7	-1	45		0	finished
23	10	1	43		6	running
23	14	7	61		6	running
23	16	5	40		6	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
24	6	-1	39		0	finished
24	9	-1	62		0	finished
24	15	-1	17		0	finished
24	19	-1	61		0	finished
24	0	-1	53		0	finished
24	4	-1	46		0	finished
24	11	-1	26		0	finished
24	3	-1	58		0	finished
24	1	-1	29		0	finished
24	8	-1	46		0	finished
24	12	-1	34		0	finished
24	13	-1	25		0	finished
24	17	-1	21		0	finished
24	18	-1	28		0	finished
24	5	-1	17		0	finished
24	2	4	61		4	running
24	7	-1	45		0	finished
24	10	1	43		5	running
24	14	7	61		5	running
24	16	5	40		5	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
25	6	-1	39		0	finished
25	9	-1	62		0	finished
25	15	-1	17		0	finished
25	19	-1	61		0	finished
25	0	-1	53		0	finished
25	4	-1	46		0	finished
25	11	-1	26		0	finished
25	3	-1	58		0	finished
25	1	-1	29		0	finished
25	8	-1	46		0	finished
25	12	-1	34		0	finished
25	13	-1	25		0	finished
25	17	-1	21		0	finished
25	18	-1	28		0	finished
25	5	-1	17		0	finished
25	2	4	61		3	running
25	7	-1	45		0	finished
25	10	1	43		4	running
25	14	7	61		4	running
25	16	5	40		4	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
26	6	-1	39		0	finished
26	9	-1	62		0	finished
26	15	-1	17		0	finished
26	19	-1	61		0	finished
26	0	-1	53		0	finished
26	4	-1	46		0	finished
26	11	-1	26		0	finished
26	3	-1	58		0	finished
26	1	-1	29		0	finished
26	8	-1	46		0	finished
26	12	-1	34		0	finished
26	13	-1	25		0	finished
26	17	-1	21		0	finished
26	18	-1	28		0	finished
26	5	-1	17		0	finished
26	2	4	61		2	running
26	7	-1	45		0	finished
26	10	1	43		3	running
26	14	7	61		3	running
26	16	5	40		3	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
27	6	-1	39		0	finished
27	9	-1	62		0	finished
27	15	-1	17		0	finished
27	19	-1	61		0	finished
27	0	-1	53		0	finished
27	4	-1	46		0	finished
27	11	-1	26		0	finished
27	3	-1	58		0	finished
27	1	-1	29		0	finished
27	8	-1	46		0	finished
27	12	-1	34		0	finished
27	13	-1	25		0	finished
27	17	-1	21		0	finished
27	18	-1	28		0	finished
27	5	-1	17		0	finished
27	2	4	61		1	running
27	7	-1	45		0	finished
27	10	1	43		2	running
27	14	7	61		2	running
27	16	5	40		2	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
28	6	-1	39		0	finished
28	9	-1	62		0	finished
28	15	-1	17		0	finished
28	19	-1	61		0	finished
28	0	-1	53		0	finished
28	4	-1	46		0	finished
28	11	-1	26		0	finished
28	3	-1	58		0	finished
28	1	-1	29		0	finished
28	8	-1	46		0	finished
28	12	-1	34		0	finished
28	13	-1	25		0	finished
28	17	-1	21		0	finished
28	18	-1	28		0	finished
28	5	-1	17		0	finished
28	2	-1	61		0	finished
28	7	-1	45		0	finished
28	10	1	43		1	running
28	14	7	61		1	running
28	16	5	40		1	running
Wasted Space: 239 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
29	6	-1	39		0	finished
29	9	-1	62		0	finished
29	15	-1	17		0	finished
29	19	-1	61		0	finished
29	0	-1	53		0	finished
29	4	-1	46		0	finished
29	11	-1	26		0	finished
29	3	-1	58		0	finished
29	1	-1	29		0	finished
29	8	-1	46		0	finished
29	12	-1	34		0	finished
29	13	-1	25		0	finished
29	17	-1	21		0	finished
29	18	-1	28		0	finished
29	5	-1	17		0	finished
29	2	-1	61		0	finished
29	7	-1	45		0	finished
29	10	-1	43		0	finished
29	14	-1	61		0	finished
29	16	-1	40		0	finished
Wasted Space: 383 MB
Jobs Waiting: 0

All jobs have been completed!
